TradeID,AccountID,Pair,Session,Direction,Profit,R,Result,TradeDate
1,10002,EURUSD,London,Sell,50.0,1.0,Win,2026-06-17
2,10001,US30,London,Buy,150.0,3.0,Win,2026-06-05
3,10004,GBPUSD,New York,Buy,100.0,1.0,Win,2026-05-28
4,10002,US30,New York,Sell,100.0,2.0,Win,2026-07-02
5,10003,US30,London,Sell,-125.0,-0.5,Loss,2026-01-28
6,10005,EURUSD,New York,Buy,600.0,3.0,Win,2026-05-22
7,10006,GBPUSD,London,Buy,100.0,2.0,Win,2026-06-01
8,10004,EURUSD,New York,Sell,-100.0,-1.0,Loss,2026-03-05
9,10006,XAUUSD,London,Sell,-75.0,-1.5,Loss,2026-04-09
10,10004,GBPUSD,London,Buy,300.0,3.0,Win,2026-06-09
11,10001,XAUUSD,London,Buy,-200.0,-1.0,Loss,2026-06-29
12,10006,GBPUSD,New York,Buy,250.0,2.5,Win,2026-01-21
13,10006,GBPUSD,London,Sell,750.0,3.0,Win,2026-03-13
14,10001,GBPUSD,London,Sell,-50.0,-0.5,Loss,2026-04-07
15,10004,GBPUSD,New York,Buy,500.0,2.5,Win,2026-06-14
16,10006,EURUSD,London,Sell,500.0,2.0,Win,2026-05-26
17,10005,US30,London,Sell,-75.0,-1.5,Loss,2026-02-14
18,10003,XAUUSD,London,Buy,-75.0,-1.5,Loss,2026-06-14
19,10001,XAUUSD,New York,Buy,-100.0,-1.0,Loss,2026-06-07
20,10006,GBPUSD,London,Buy,100.0,1.0,Win,2026-01-19
21,10005,US30,London,Sell,-100.0,-1.0,Loss,2026-02-06
22,10006,GBPUSD,New York,Sell,-250.0,-1.0,Loss,2026-05-23
23,10003,GBPUSD,London,Buy,300.0,3.0,Win,2026-02-04
24,10006,GBPUSD,London,Buy,-25.0,-0.5,Loss,2026-06-04
25,10003,XAUUSD,London,Buy,-50.0,-0.5,Loss,2026-01-13
26,10004,US30,London,Sell,250.0,1.0,Win,2026-05-31
27,10006,US30,New York,Sell,50.0,1.0,Win,2026-04-05
28,10002,XAUUSD,London,Buy,250.0,2.5,Win,2026-04-18
29,10002,GBPUSD,New York,Sell,-125.0,-0.5,Loss,2026-04-23
30,10001,EURUSD,London,Buy,-50.0,-0.5,Loss,2026-05-25
31,10004,US30,New York,Buy,-125.0,-0.5,Loss,2026-04-19
32,10003,US30,New York,Sell,750.0,3.0,Win,2026-01-05
33,10001,GBPUSD,New York,Buy,150.0,3.0,Win,2026-02-13
34,10005,EURUSD,London,Sell,-150.0,-1.5,Loss,2026-03-26
35,10005,EURUSD,London,Buy,375.0,1.5,Win,2026-01-19
36,10004,GBPUSD,London,Buy,-300.0,-1.5,Loss,2026-02-04
37,10003,GBPUSD,New York,Buy,500.0,2.0,Win,2026-03-12
38,10005,EURUSD,London,Sell,-25.0,-0.5,Loss,2026-03-26
39,10003,GBPUSD,New York,Buy,-100.0,-0.5,Loss,2026-05-22
40,10005,GBPUSD,New York,Sell,-75.0,-1.5,Loss,2026-03-18
41,10003,XAUUSD,London,Buy,100.0,1.0,Win,2026-06-24
42,10002,XAUUSD,London,Sell,-250.0,-1.0,Loss,2026-03-15
43,10003,EURUSD,London,Sell,200.0,2.0,Win,2026-03-10
44,10005,XAUUSD,London,Sell,-75.0,-1.5,Loss,2026-06-17
45,10003,EURUSD,London,Buy,375.0,1.5,Win,2026-02-02
46,10001,EURUSD,New York,Sell,-50.0,-0.5,Loss,2026-02-06
47,10005,EURUSD,New York,Sell,-50.0,-0.5,Loss,2026-06-24
48,10006,US30,London,Buy,-100.0,-1.0,Loss,2026-02-19
49,10001,GBPUSD,London,Sell,-50.0,-0.5,Loss,2026-03-14
50,10002,XAUUSD,New York,Buy,375.0,1.5,Win,2026-05-02
51,10003,XAUUSD,London,Sell,-200.0,-1.0,Loss,2026-03-30
52,10005,EURUSD,New York,Buy,-50.0,-1.0,Loss,2026-01-12
53,10004,US30,New York,Sell,-75.0,-1.5,Loss,2026-02-01
54,10006,GBPUSD,New York,Buy,300.0,3.0,Win,2026-04-13
55,10005,US30,London,Sell,200.0,1.0,Win,2026-04-08
56,10004,XAUUSD,New York,Sell,-150.0,-1.5,Loss,2026-05-14
57,10005,US30,New York,Buy,125.0,2.5,Win,2026-02-23
58,10005,XAUUSD,London,Sell,-250.0,-1.0,Loss,2026-03-23
59,10006,US30,London,Sell,200.0,1.0,Win,2026-04-28
60,10006,XAUUSD,London,Buy,150.0,1.5,Win,2026-05-16
61,10005,EURUSD,London,Sell,-125.0,-0.5,Loss,2026-01-11
62,10004,GBPUSD,New York,Sell,50.0,1.0,Win,2026-04-21
63,10001,GBPUSD,London,Sell,250.0,1.0,Win,2026-04-23
64,10005,US30,New York,Sell,-375.0,-1.5,Loss,2026-02-08
65,10004,US30,London,Sell,300.0,1.5,Win,2026-05-25
66,10004,US30,London,Sell,200.0,2.0,Win,2026-05-18
67,10002,XAUUSD,New York,Buy,250.0,2.5,Win,2026-03-15
68,10004,GBPUSD,London,Sell,625.0,2.5,Win,2026-07-04
69,10005,GBPUSD,New York,Sell,-125.0,-0.5,Loss,2026-01-20
70,10004,EURUSD,New York,Sell,-100.0,-1.0,Loss,2026-05-07
71,10004,GBPUSD,New York,Sell,500.0,2.0,Win,2026-05-09
72,10004,US30,London,Buy,50.0,1.0,Win,2026-02-16
73,10002,US30,London,Sell,500.0,2.5,Win,2026-06-18
74,10004,US30,New York,Sell,500.0,2.5,Win,2026-02-28
75,10003,US30,London,Buy,50.0,1.0,Win,2026-01-25
76,10005,GBPUSD,London,Buy,375.0,1.5,Win,2026-01-12
77,10006,EURUSD,London,Sell,200.0,2.0,Win,2026-06-25
78,10001,EURUSD,London,Sell,500.0,2.0,Win,2026-06-09
79,10001,GBPUSD,London,Buy,-50.0,-1.0,Loss,2026-04-16
80,10006,EURUSD,New York,Sell,600.0,3.0,Win,2026-05-29
81,10004,US30,New York,Buy,-375.0,-1.5,Loss,2026-01-08
82,10005,US30,London,Sell,-375.0,-1.5,Loss,2026-02-13
83,10002,US30,New York,Sell,-100.0,-0.5,Loss,2026-05-04
84,10003,GBPUSD,New York,Sell,200.0,2.0,Win,2026-04-30
85,10003,GBPUSD,New York,Sell,600.0,3.0,Win,2026-05-09
86,10002,EURUSD,London,Buy,-100.0,-1.0,Loss,2026-05-27
87,10001,US30,New York,Sell,375.0,1.5,Win,2026-06-30
88,10004,GBPUSD,New York,Sell,500.0,2.0,Win,2026-07-01
89,10003,XAUUSD,New York,Sell,75.0,1.5,Win,2026-05-25
90,10002,XAUUSD,London,Buy,500.0,2.5,Win,2026-02-23
91,10003,XAUUSD,London,Buy,300.0,1.5,Win,2026-06-04
92,10001,GBPUSD,New York,Buy,375.0,1.5,Win,2026-01-08
93,10004,EURUSD,New York,Sell,75.0,1.5,Win,2026-01-31
94,10004,US30,London,Buy,150.0,3.0,Win,2026-03-10
95,10002,GBPUSD,New York,Buy,250.0,2.5,Win,2026-02-12
96,10003,US30,New York,Sell,-200.0,-1.0,Loss,2026-05-18
97,10006,EURUSD,London,Buy,100.0,1.0,Win,2026-05-30
98,10001,GBPUSD,London,Buy,750.0,3.0,Win,2026-03-07
99,10006,EURUSD,London,Sell,125.0,2.5,Win,2026-03-20
100,10004,GBPUSD,New York,Buy,150.0,1.5,Win,2026-06-29
