TradeID,AccountID,Pair,Session,Direction,Profit,R,Result,TradeDate
1,10002,EURUSD,London,Sell,50,1,Win,6/17/2026
2,10001,US30,London,Buy,150,3,Win,6/5/2026
3,10004,GBPUSD,New York,Buy,100,1,Win,5/28/2026
4,10002,US30,New York,Sell,100,2,Win,7/2/2026
5,10003,US30,London,Sell,-125,-0.5,Loss,1/28/2026
6,10005,EURUSD,New York,Buy,600,3,Win,5/22/2026
7,10006,GBPUSD,London,Buy,100,2,Win,6/1/2026
8,10004,EURUSD,New York,Sell,-100,-1,Loss,3/5/2026
9,10006,XAUUSD,London,Sell,-75,-1.5,Loss,4/9/2026
10,10004,GBPUSD,London,Buy,300,3,Win,6/9/2026
11,10001,XAUUSD,London,Buy,-200,-1,Loss,6/29/2026
12,10006,GBPUSD,New York,Buy,250,2.5,Win,1/21/2026
13,10006,GBPUSD,London,Sell,750,3,Win,3/13/2026
14,10001,GBPUSD,London,Sell,-50,-0.5,Loss,4/7/2026
15,10004,GBPUSD,New York,Buy,500,2.5,Win,6/14/2026
16,10006,EURUSD,London,Sell,500,2,Win,5/26/2026
17,10005,US30,London,Sell,-75,-1.5,Loss,2/14/2026
18,10003,XAUUSD,London,Buy,-75,-1.5,Loss,6/14/2026
19,10001,XAUUSD,New York,Buy,-100,-1,Loss,6/7/2026
20,10006,GBPUSD,London,Buy,100,1,Win,1/19/2026
21,10005,US30,London,Sell,-100,-1,Loss,2/6/2026
22,10006,GBPUSD,New York,Sell,-250,-1,Loss,5/23/2026
23,10003,GBPUSD,London,Buy,300,3,Win,2/4/2026
24,10006,GBPUSD,London,Buy,-25,-0.5,Loss,6/4/2026
25,10003,XAUUSD,London,Buy,-50,-0.5,Loss,1/13/2026
26,10004,US30,London,Sell,250,1,Win,5/31/2026
27,10006,US30,New York,Sell,50,1,Win,4/5/2026
28,10002,XAUUSD,London,Buy,250,2.5,Win,4/18/2026
29,10002,GBPUSD,New York,Sell,-125,-0.5,Loss,4/23/2026
30,10001,EURUSD,London,Buy,-50,-0.5,Loss,5/25/2026
31,10004,US30,New York,Buy,-125,-0.5,Loss,4/19/2026
32,10003,US30,New York,Sell,750,3,Win,1/5/2026
33,10001,GBPUSD,New York,Buy,150,3,Win,2/13/2026
34,10005,EURUSD,London,Sell,-150,-1.5,Loss,3/26/2026
35,10005,EURUSD,London,Buy,375,1.5,Win,1/19/2026
36,10004,GBPUSD,London,Buy,-300,-1.5,Loss,2/4/2026
37,10003,GBPUSD,New York,Buy,500,2,Win,3/12/2026
38,10005,EURUSD,London,Sell,-25,-0.5,Loss,3/26/2026
39,10003,GBPUSD,New York,Buy,-100,-0.5,Loss,5/22/2026
40,10005,GBPUSD,New York,Sell,-75,-1.5,Loss,3/18/2026
41,10003,XAUUSD,London,Buy,100,1,Win,6/24/2026
42,10002,XAUUSD,London,Sell,-250,-1,Loss,3/15/2026
43,10003,EURUSD,London,Sell,200,2,Win,3/10/2026
44,10005,XAUUSD,London,Sell,-75,-1.5,Loss,6/17/2026
45,10003,EURUSD,London,Buy,375,1.5,Win,2/2/2026
46,10001,EURUSD,New York,Sell,-50,-0.5,Loss,2/6/2026
47,10005,EURUSD,New York,Sell,-50,-0.5,Loss,6/24/2026
48,10006,US30,London,Buy,-100,-1,Loss,2/19/2026
49,10001,GBPUSD,London,Sell,-50,-0.5,Loss,3/14/2026
50,10002,XAUUSD,New York,Buy,375,1.5,Win,5/2/2026
51,10003,XAUUSD,London,Sell,-200,-1,Loss,3/30/2026
52,10005,EURUSD,New York,Buy,-50,-1,Loss,1/12/2026
53,10004,US30,New York,Sell,-75,-1.5,Loss,2/1/2026
54,10006,GBPUSD,New York,Buy,300,3,Win,4/13/2026
55,10005,US30,London,Sell,200,1,Win,4/8/2026
56,10004,XAUUSD,New York,Sell,-150,-1.5,Loss,5/14/2026
57,10005,US30,New York,Buy,125,2.5,Win,2/23/2026
58,10005,XAUUSD,London,Sell,-250,-1,Loss,3/23/2026
59,10006,US30,London,Sell,200,1,Win,4/28/2026
60,10006,XAUUSD,London,Buy,150,1.5,Win,5/16/2026
61,10005,EURUSD,London,Sell,-125,-0.5,Loss,1/11/2026
62,10004,GBPUSD,New York,Sell,50,1,Win,4/21/2026
